"competitorId","competitorName","firstName","lastName","gender","genderId","age","ageNull","height","heightNull","weight","weightNull","bmi","bmiNull","affiliateName","affiliateId","countryOfOriginName","countryOfOriginCode","regionName","regionId","status","statusId","year","overallRank","overallScore","openCompetitor","openRank","openScore","gamesCompetitions","openCompetitions"
51106,"Tiffany Hendrickson","Tiffany","Hendrickson","F",2,32,0,161,0,62,0,23.9188302920412,0,"",0,"United States",1,"North America",1,"CUT",4,2013,31,352,1,41,536,1,1
51184,"Shelly Fleming","Shelly","Fleming","F",2,33,0,165.374825174825,1,65.6666666666667,1,24.014145599118,1,"",0,"",0,"",0,"CUT",4,2010,37,136,0,1000,5000,1,2
51701,"Danielle Dionne","Danielle","Dionne","F",2,28,0,166,0,62,0,22.4996371026274,0,"",0,"",0,"",0,"CUT",4,2009,37,200,0,1000,5000,1,2
51922,"Alexandra Bergeron","Alexandra","Bergeron","F",2,21,0,163,0,65.6666666666667,1,24.014145599118,1,"",0,"",0,"",0,"CUT",4,2009,29,144,0,1000,5000,1,2
52053,"Jasmine Dever","Jasmine","Dever","F",2,25,0,176,0,66,0,21.3068181818182,0,"",0,"",0,"",0,"CUT",4,2010,27,98,0,1000,5000,1,2
52526,"Jenny Olson","Jenny","Olson","F",2,38,0,168,0,62,0,21.9671201814059,0,"",0,"",0,"",0,"ACT",1,2009,8,134,0,1000,5000,1,2
52677,"Taylor Richards-lindsay","Taylor","Richards-lindsay","F",2,25,0,163,0,61,0,22.9590876585494,0,"",0,"United States",1,"North America",1,"CUT",4,2011,27,246,0,1000,5000,1,2
52940,"Lindsey Smith","Lindsey","Smith","F",2,26,0,181,0,72,0,21.9773511187082,0,"",0,"",0,"",0,"ACT",1,2009,5,105,0,1000,5000,1,2
53314,"Nate Schrader","Nate","Schrader","M",1,26,0,186,0,100,0,28.9050757312984,0,"",0,"United States",1,"North America",1,"CUT",4,2011,14,386,1,12,336,1,1
53552,"Nicolle Wallace","Nicolle","Wallace","F",2,34,0,165.374825174825,1,65.6666666666667,1,24.014145599118,1,"",0,"",0,"",0,"CUT",4,2010,39,142,0,1000,5000,1,3
53824,"Tyson Takasaki","Tyson","Takasaki","M",1,25,0,186,0,93,0,26.8817204301075,0,"CrossFit 204",1367,"Canada",5,"North America",1,"ACT",1,2013,23,573,1,258,2872,1,1
54259,"Mustafa El-Lari","Mustafa","El-Lari","M",1,29,0,178,0,86,0,27.1430374952657,0,"CrossFit AKA",2345,"Iraq",90,"Asia",6,"CUT",4,2019,123,0,1,1000,5000,0,1
54590,"Ben Carter","Ben","Carter","M",1,25,0,177.37876960193,1,88.3747016706444,1,28.0820119519273,1,"",0,"",0,"",0,"CUT",4,2009,21,123,0,1000,5000,1,1
54687,"Heather Gillespie","Heather","Gillespie","F",2,31,0,163,0,63,0,23.7118446309609,0,"CrossFit Lethbridge",403,"Canada",5,"North America",1,"CUT",4,2012,34,343,1,227,2212,1,1
55121,"Katrin Tanja Davidsdottir","Katrin Tanja","Davidsdottir","F",2,18,0,169,0,69,0,24.1588179685585,0,"",0,"",0,"Europe",4,"CUT",4,2012,30,377,1,21,451,1,1
56057,"Chris Kemp","Chris","Kemp","M",1,33,0,177.37876960193,1,88.3747016706444,1,28.0820119519273,1,"",0,"",0,"",0,"ACT",1,2008,74,24,0,1000,5000,1,10
56606,"Ian Carver","Ian","Carver","M",1,34,0,181,0,89,0,27.1664479106254,0,"",0,"",0,"",0,"ACT",1,2008,54,21,0,1000,5000,1,10
56664,"Heidi Choi","Heidi","Choi","F",2,33,0,162,0,54,0,20.5761316872428,0,"CrossFit Zest",7674,"Korea, Republic of",73,"Asia",6,"CUT",4,2019,100,0,1,633,5000,0,1
56923,"Joseph Weigel","Joseph","Weigel","M",1,18,0,183,0,89,0,26.5758905909403,0,"",0,"",0,"",0,"ACT",1,2008,65,23,0,1000,5000,1,1
57509,"Tanya Wagner","Tanya","Wagner","F",2,26,0,168,0,69,0,24.4472789115646,0,"",0,"",0,"",0,"ACT",1,2008,2,19,0,1000,5000,1,1
57785,"Brett Marshall","Brett","Marshall","M",1,33,0,168,0,71,0,25.15589569161,0,"",0,"",0,"",0,"ACT",1,2007,2,270,0,1000,5000,1,1
58489,"Steve Willis","Steve","Willis","M",1,33,0,177.37876960193,1,88.3747016706444,1,28.0820119519273,1,"",0,"",0,"",0,"ACT",1,2009,4,101,0,1000,5000,1,1
59148,"Cyndi Frieling","Cyndi","Frieling","F",2,33,0,168,0,71,0,25.15589569161,0,"",0,"",0,"",0,"ACT",1,2008,21,27,0,1000,5000,1,1
60526,"Julian Alcaraz","Julian","Alcaraz","M",1,25,0,178,0,90,0,28.4055043555107,0,"CrossFit Training Yard",7746,"United States",1,"North America",1,"ACT",1,2015,35,299,1,102,2879,1,1
60614,"Christopher Netley","Christopher","Netley","M",1,25,0,186,0,98,0,28.3269742166724,0,"",0,"",0,"",0,"ACT",1,2008,81,25,0,1000,5000,1,1
60656,"Justine Beath","Justine","Beath","F",2,26,0,163,0,64,0,24.0882231171666,0,"CrossFit Lower Mountains",6557,"Australia",3,"Oceania",7,"ACT",1,2016,38,224,1,48,557,1,1
61090,"Rob Orlando","Rob","Orlando","M",1,34,0,173,0,89,0,29.7370443382672,0,"",0,"",0,"",0,"CUT",4,2009,22,125,0,1000,5000,1,2
61605,"Kent Stamey","Kent","Stamey","M",1,38,0,177.37876960193,1,91,0,28.0820119519273,1,"",0,"",0,"",0,"ACT",1,2008,67,23,0,1000,5000,1,1
